subject_code,title
MGT4248,비즈니스프로세스관리
MGT4301,투자론
MGT4304,포트폴리오관리
MGT4307,금융기관론
MGT4313,벤처와금융시장(캡스톤디자인)
MGT4315,재무와지속가능사회
MGT4331,보험학원론
MGT4332,기업리스크관리
MGT4401,중급회계1
MGT4402,중급회계2
MGT4404,원가회계
MGT4501,마케팅전략
MGT4502,소비자행동론
MGT4503,시장조사론
MGT4507,유통전략론
MGT4508,서비스마케팅
MGT4510,국제마케팅론
MGT4514,아시아마케팅전략(캡스톤디자인)
MGT4516,인공지능과마케팅
MGT4601,기업과국제환경
MGT4605,무역경영관리
MGT4607,국제금융시장론
MGT4613,중국시장및경영환경의이해
MGT4701,경영영어라이팅
MGT4712,"지식,인성그리고경영"
MGT4713,사회적가치창출프랙티컴
MGT4717,"지식,인성그리고경영(심화)"
KOR2001,국어학입문
KOR2200,국문학개설
KOR2201,문학이란무엇인가
KOR3002,국어음운론
KOR3003,국어의문장구조
KOR3004,국어형태론
KOR3015,국어사
KOR3302,고전소설텍스트읽기
KOR3303,고전수필론
KOR3405,현대시텍스트읽기II
KOR3410,희곡론
KOR4001,국어학연습
KOR4002,외국어로서의한국어교육
KOR4099,개별연구논문
KOR4504,문학과문화콘텐츠
KORG011,고전문학연구방법론
KORQ982,국어교과논리및논술
KORQ983,국어교과교재연구및지도법
CHM1001,일반화학I
CHM1002,일반화학II
CHM1052,일반화학실험II
CHM2102,기기분석
CHM2152,기기분석실험
CHM2201,물리화학I
CHM2203,물리화학III
CHM2252,물리화학실험II
CHM2302,유기화학II
CHM2332,유기화학특론II
CHM2351,유기화학실험I
CHM2402,무기화학II
CHM2451,무기화학실험
CHM2601,생화학I
CHM4052,창의적연구프로젝트설계
CHM4054,화학기기종합설계
CHM4203,화학특허와기술이전
CHMG201,고급물리화학I
CHMG302,고급유기화학II
EDUF981,외국어교과교육론
EDUS982,과학교과논리및논술
EDUS983,과학교과교재연구및지도
EEE1002,C언어기초
EEE2011,전자공학세미나I
EEE2052,디지털논리회로실험
EEE2102,전자장론II
EEE2104,고급공학수학II
EEE2108,공학프로그래밍
EEE2111,기초회로이론
EEE2120,물리전자공학I
EEE2153,신호및시스템
EEE3132,전자회로II
EEE3142,디지털제어
EEE3146,반도체공학I
EEE3149,디지털통신
EEE3163,고급디지털회로설계
EEE3178,컴퓨터아키텍쳐
EEE3182,고급전자회로실험
EEE4125,광전자공학
EEE4159,이동통신공학
EEE4161,인터넷통신망
EEE4168,마이크로프로세서시스템설계
EEE4169,VLSI시스템설계
EEE4174,기초초고주파회로해석
EEE4176,디지털신호처리응용
EEE4178,인공지능(딥러닝)개론
EEE4185,디자인프로젝트(종합설계)
EEEG274,IoT디바이스설계기술(캡스톤디자인)
POL2002,정치학개론
POL3068,한국의선거
POL3080,현대북한의정치
POL3094,정당과정당제
POL3107,고대중세정치사상
POL3122,소유와화폐의정치
POL3163,일본정치의이해
POL3167,정치발전과저발전의정치
POL3170,유럽정치의이해
POL3179,비교민주주의론
POL3184,정치심리학
POL3185,미국정치특강
POL4084,한반도정치론
POL4151,군사안보전략
POL4155,국제관계실무토론과글쓰기
CBE2002,창의설계
CBE2006,응용생물학
CBE2007,응용생화학
CBE2009,화공생명공학기초실험II
CBE2012,화공수학II
CBE3001,화공열역학
CBE3005,열및물질전달
CBE3006,공정제어
CBE3008,고분자물성
CBE3012,화공수학III
CBE3014,유전공학
CBE3016,화공생명공학요소실험II
CBE3301,연구프로젝트Ⅰ
CBE4001,화공생명공학심화종합설계
CBE4005,촉매공학
CBE4010,화공재료
CBE4011,전기화학
CBE4016,석유화학공학
CBE4017,화공생명공학공정실험
CBE4018,산업미생물공학
CBE4019,기능성고분자화학
CBE4021,나노기술의이해
EUR2302,쉬운프랑스어읽기
EUR2304,프랑스어문법2
EUR3320,시청각프랑스어1
EUR3322,시청각프랑스어3
EUR3323,프랑스어작문1
EUR3341,프랑스문학개론
EUR3348,프랑스시
EUR3360,프랑스의지방문화들
REL2001,종교의이해
REL2012,종교학답사III
REL3006,고대근동의종교
REL3010,현대사회와이슬람교
REL3021,도교강독
REL3024,그리스도교강독
REL3027,종교현상학
REL3028,종교인류학
REL3029,종교심리학
REL3038,종교와젠더
SOC2001,사회학개론
SOC2004,사회통계학
SOC3006,사회변동론
SOC3011,도시사회학
SOC3013,현대가족연구
SOC3017,예술사회학
SOC3018,일상생활의사회학
SOC3019,교육사회학
SOC3020,세계화와후기산업사회
SOC3032,현대사회와세대문제
SOC3034,국제이주와초국가주의
SOC3051,시장과사회
SOCG010,사회학글쓰기
CSE2003,기초공학설계
CSE2035,C프로그래밍
CSE3006,이산구조
CSE3013,컴퓨터공학설계및실험I
CSE3015,디지털회로개론
CSE3016,컴퓨터공학실험II
CSE3040,JAVA언어
CSE3080,자료구조
CSE3081,알고리즘설계와분석
CSE4011,임베디드컴퓨터구조
CSE4060,데이터통신개론
CSE4070,운영체제
CSE4085,자동장치이론
CSE4095,파일처리
CSE4152,고급소프트웨어실습I
CSE4177,인터넷프로그래밍및응용
CSE4178,기초SOC설계
CSE4181,SW경제성분석및창업
CSE4185,기초인공지능
CSE4186,캡스톤디자인I
CSE4187,캡스톤디자인II
CSEG311,대화형사용자인터페이스개론
CSEG414,병렬분산컴퓨팅
CSEG601,공간데이터관리및응용
CSEQ982,컴퓨터학교과교재연구및지도법
CSEQ983,컴퓨터학교과논리및논술
MEE1005,C프로그래밍기초
MEE2007,공학수학II
MEE2008,공학설계개론
MEE2012,유체역학I
MEE2013,동역학
MEE2014,디자인과재료
MEE2025,모형설계제작
MEE2026,2DCAD
MEE3002,열역학II
MEE3003,진동학
MEE3005,공학수치해석
MEE3011,부품설계
MEE3012,자동차동력공학
MEE3015,설계방법론(캡스톤디자인)
MEE3025,기계공학실험I
MEE3301,연구프로젝트Ⅰ
MEE4001,유한요소해석
MEE4016,바이오모방공학개론
MEE4021,창의적종합설계
MEE4047,기계공학세미나
MEEG005,연속체역학
MEEG012,전산유체역학
MEEG019,공정설계의CAE
MEEG032,전산열전달
AMC2020,문화와글쓰기
AMC2031,미국학입문
AMC2033,미국문화사
AMC2037,미국의아이콘들
AMC3035,아메리칸드림
AMC3045,시각예술
AMC3057,SF문학과영화
AMC3080,미국의다문화주의
AMC4105,포스트모더니즘과탈식민주의
AMC4130,1960년대의저항문화
AMC4140,미국영화세미나
AMCG001,미국사상연구
CHI2001,전공기초중국어1
CHI2003,기초한문
CHI2007,중국문학의세계
CHI3002,중국어작문1
CHI3003,중국어3
CHI3005,고급중국어
CHI3006,중국시사
CHI3013,중국의공연예술
CHI3032,루쉰과현대
CHI4002,제자백가의이해
CHI4007,중국어통번역
CHI4009,중국미디어와도시
CHI4014,글로벌라이제이션과중국
PSY2001,일반심리학
PSY2003,발달심리학
PSY3001,임상심리학
PSY3002,상담심리학
PSY3009,사회심리학
PSY3011,청년심리학
PSY3014,학습심리학
PSY3016,동기및정서심리학
PSY3020,아동청소년상담과심리치료
PSY3025,개인차의심리학
PSY4002,심리검사및측정
PSY4016,조직심리학
PSY4019,독서심리학
PSY4036,발달정신병리학
PSY4043,계량심리학세미나
CHS2001,한국문화와역사
CHS2002,현대한국의형성
CHS2003,현대동아시아의형성
CHS2004,현대서양의형성
CHU4005,인물로본중국사
CHU4007,인물로본서양사
CHU4011,영화로본역사
CHU4013,문학작품으로읽는한국사
CHU4018,이주의역사
COR1003,영어글로벌의사소통I
COR1005,영어글로벌의사소통I(고급)
COR1009,컴퓨팅사고력
COR1012,인문사회글쓰기
COR1013,자연계글쓰기
COR1014,한국어글쓰기
COR1015,알바트로스세미나
ETS2001,현대세계와윤리문제
ETS2002,논리와비판적사고
ETS2003,철학산책
ETS2004,종교와세계문화
ETU4010,한국문화와종교
ETU4016,"종교,폭력,평화"
ETU4018,행복의추구
HFS2001,철학적인간학
HFS2002,신학적인간학
HFS2003,그리스도교윤리
HFU4009,영성과문화예술
HFU4012,그리스도교신앙과영성
HFU4014,영성수련
HFU4023,진·선·미·성
HLU4001,영양과다이어트
HLU4004,수영
HLU4006,요가
HLU4007,테니스
HLU4009,배드민턴
HLU4011,농구
HLU4013,축구
HLU4014,야구
HLU4015,골프
HLU4102,테니스II
HSS3002,사회봉사
HSS3005,수화의이해
HSS3011,영어토론세미나
HSS3013,현대인문세미나
HSS3016,진로탐색입문
HSS3017,학습매니지먼트
HSS3019,세계를간다
HSS3021,인간과지성
HSS3024,글로벌기업CEO특강
HSS3025,진로탐색심화
HSS3026,SOFEX100동아시아와예수회교육
KCS1001,한국문화의이해와체험
KCS1002,한국문화의이해와탐색
LAU4003,언어의이해
LAU4006,문학과판타지
LAU4008,다매체시대의고전읽기
LAU4015,서양미술의역사와감상
LAU4022,서양대중음악의이해
LAU4031,영화로보는복식사(복식사와영화의상)
LAU4036,드로잉-선을통한사고와표현
LAU4037,동양화그리기
LAU4052,아시아의미술과문명
LCS2001,독일언어와문화I
LCS2002,독일언어와문화II
LCS2003,프랑스언어와문화I
LCS2004,프랑스언어와문화II
LCS2005,중국언어와문화I
LCS2006,중국언어와문화II
LCS2007,일본언어와문화I
LCS2008,일본언어와문화II
LCU4011,고급영어회화
LCU4015,영화를통한영어연습
LCU4017,비즈니스영어연습
LCU4018,연극을통한영어연습
LCU4035,초급러시아어
LCU4103,기본영어
LCU4105,초급아랍어
LCU4107,튜터링을통한글쓰기능력신장
LED3002,리더십훈련
LED3010,발표와토론
ROT4002,안전및조직관리사례연구
ROT4004,조직리더십사례연구
SHS2001,현대사회의이해
SHS2002,한국과세계
SHS2002,한국과세계(중국어강의)
SHS2003,커뮤니케이션과사회
SHS2004,경제와사회
SHS2005,법과지식산업
SHS2007,생활속의심리학
SHU4001,북한의이해와통일후한국
SHU4006,인권과정의
SHU4023,성의식과인간이해
SHU4027,영화로사회읽기
SHU4031,인권과교육
SHU4054,인간관계의심리와대인관계기술
SHU4058,내가설계하는최고의인문학강의(스탈링스)
SHU4063,4차산업혁명과기업가정신
SHU4067,동남아시아현대사회의이해
SHU4068,한중정치사회의이해(중국어)(중국어강의)
SHU4071,기업으로본아시아현대사회
SHU4072,현대아시아도시사회의이해
STS2001,자연과인간
STS2002,생명과환경
STS2004,대학수학
STS2006,미적분학II
STS2008,고급응용C프로그래밍
STS2010,과학사
STS2011,기초빅데이터프로그래밍
STU4004,생명의신비
STU4005,바다의이해
STU4010,건강과한의학
STU4011,우주와원자시대
TLS1001,독서와토론
TLS1002,비평적글쓰기연습
TLS1003,스토리텔링글쓰기연습
TLS1004,영어글로벌의사소통II
ZKAP001,학문을위한한국어 I
ZKAP002,학문을위한한국어 II
ZKAP003,학문을위한한국어 III
ZKAP004,학문을위한한국어 IV
ZKAP005,학문을위한한국어 V
EDU2001,교육학개론
EDU2002,교육철학및교육사
EDU2003,교육심리
EDU2004,교육방법및교육공학
EDU3001,교육과정
EDU3002,교육행정및교육경영
EDU3033,교육사회
EDU3035,교육봉사활동
EDU3037,생활지도및상담
EDU3039,교육연구법
EDU3045,특수교육학개론
EDU3046,교직실무
JPN2001,중급일본어I
JPN2003,미디어일본어
JPN2004,일본어회화
JPN2011,일본소설강독
JPN2014,일본문화특강II
JPN4005,일본문학특강
JPN4011,일본사회특강
GES2002,여성학개론
GES3007,여성과정치
GES3012,여성과대중문화
GES3019,성과사랑
GES3021,상담과젠더
GESG002,여성학연구방법론
PEP2000,"현대문명의정치,경제,철학적이해"
BNT3002,바이오융합기술프로젝트II
BNTG006,바이오기술과투자기초
BNTG009,생물물리화학
BNTG010,기술경제금융정책
BNTG031,지식재산권과특허
BNTG032,의공학개론II
SPM3001,운동처방
SPM3004,스포츠프로모션
SPM3007,스포츠사회학
SPM3009,스포츠마케팅
SPM3013,스포츠정치철학
SPM3015,서사적체육:스포츠와스토리텔링
SPM3101,스쿠바다이빙
SPM3113,댄스스포츠I
SPM3114,댄스스포츠II
SPM3116,태권도
SPM3119,파워요가
SPM3120,댄스피트니스
PUB2001,법과정의
PUB2005,법과현대사회
PUB3003,법치행정의이해
PUB3004,재산관계와법I
PUB3006,가족관계와법
PUB3007,민사분쟁처리와법
PUB3008,범죄와형벌의이해
PUB3010,기업과법
PUB3012,국가와법
PUB3015,소유권과법
PUB3019,미국의법체계와소송
PUB4001,국제사회와법
PUB4002,환경과법
PUB4010,형사절차의이해Ⅱ
AAT3004,Intro to Sonic Art
AAT3005,Visual Design
AAT3007,Intro to Web Development
AAT3008,Creative Algorithms
AAT3009,Sound Design
AAT3010,Visual Story
AAT3015,3D Modeling Studio
AAT3016,UI/UX Design
AAT4004,Media Arts Studio
AAT4005,Game Studio
AAT4006,3D Animation Studio
SUA2003,창의적문제해결과신제품개발(스타트업)
SUA2005,실전스타트업(캡스톤디자인)
SUA4003,벤처창업과투자유치실습
CSW2020,기초Java언어
CSW2030,자료구조입문
CSW2040,정보사회와인문학
CSW2050,코퍼스언어학
CSW2060,인문콘텐츠학
CSW3030,데이터베이스입문
CSW4010,융합소프트웨어종합설계
KIC3004,국제개발협력과NGO
KIC3005,국제개발협력의주요의제
EUR2101,유럽문화와상호문화소통
EUR4109,주제별유럽문화연구
EURG212,독일어문장구조의이해
EURG307,불어학연구
MAS1003,The art of storytelling
MAS1004,Data&AI
MAS2004,인간소통과미디어
MAS3001,미디어커뮤니케이션조사론
JAS3001,저널리즘개론
JAS3003,네트워크사회와미디어
JAS3005,대중문화론
JAS3006,융합적 미디어 글쓰기
JAS3007,광고4.0
JAS3009,광고카피라이팅과전략적글쓰기
JAS3011,PR글쓰기와실무
JAS3013,PR이론과실제
JAS4011,마케팅커뮤니케이션과시장읽기
JAS4012,벤처마케팅커뮤니케이션
JAS4018,기계학습기반의텍스트마이닝
JAS4022,매스컴효과론
JAS4030,마케팅PR
JAS4032,소셜미디어와글로벌소비자행동
MAE2001,미디어&엔터테인먼트개론
MAE2003,영상제작[캡스톤디자인]
MAE3001,매스커뮤니케이션
MAE3002,"미디어,인간,사회"
MAE3004,영화입문
MAE3007,드라마의창조적해석
MAE3014,커뮤니케이션학입문
MAE4003,엔터테인먼트 심리학
MAE4012,초지능사회론
MAE4018,단편영화제작 워크숍[캡스톤디자인]
MAE4020,세계연극사
MAE4021,공연의미학과이론
MAE4023,연출입문
MAE4030,뮤지컬창작심화(캡스톤디자인)
MAE4032,디지털미디어정책론
MAE4035,모바일커뮤니케이션
AAT2002,Humanities & creativity
AAT2003,Intro to Digital Arts
AAT2004,Intro to Creative Computing
AAT2005,Creative Capstone Project I
AAT2006,Creative Capstone Project II
AAT3012,Intro to Storytelling
AAT4015,졸업창작프로젝트I
AAT4016,졸업창작프로젝트II
AAT4017,졸업창작프로젝트III
GKS2001,Introductory Seminar in Korean Studies
GKS2003,Understanding Korean History in the Context of Time/Space
GKS2004,Capstone 1: Korean Studies in Practice
GKS2005,AdvancedAcademicWritinginKoreanStudies
GKS3005,Globalisation and Korean Development
GKS3024,Korean Language&Culture-Intermediate
GKS3030,Korean Language&Culture-Advanced
GKS4009,Introduction to Exploratory Machine Learning
GKS4011,The Medium of Korean Cultural Modernity
GKS4013,Filming Korea: Korean Historians Behind the Camera
GKSG007,Big Data Analysis in Korean Studies
BDS4010,빅데이터종합설계
AIC4011,인공지능종합설계Ⅱ
KSC1001,대학생활을위한학문적읽기
KSC1002,대학생활을위한비판적쓰기
KSC1003,대학생활을위한전략적듣기
KSC1004,대학생활을위한논리적말하기
KSC2001,한국문화이해를위한학문적읽기
KSC2002,한국문화이해를위한비판적쓰기
KSC2003,한국문화이해를위한전략적듣기
KSC2004,한국문화이해를위한논리적말하기
KSC3001,한국사회이해를위한학문적읽기
KSC3002,한국사회이해를위한비판적쓰기
KSC3003,한국사회이해를위한전략적듣기
KSC3004,한국사회이해를위한논리적말하기
KSC4006,한국정치의이해
KSC4007,한국사회변동
KSC4009,한국전통문화의이해
KSC4010,남북한관계론
ENG3008,초기영국소설
ENG3010,빅토리아시대의소설
ENG3012,초기및19세기미국소설
ENG3102,현대서양문학
ENG3106,현대미국희곡
ENG3108,최근미국문학
ENG3207,영어권대중문학
ENG3216,영문학특강
ENG3223,시와문화
ENG3227,문학과예술
ENG3301,영어음성학
ENG3305,영어화용론
ENG3306,영어통사론
ENG3319,언어조사및분석
ENG3412,영어연설과원고작성법
ENGG282,영어논리/논증적글쓰기의이론과실제
ENGG284,글쓰기문법과논리적사고
HIS2003,한국사개론Ⅰ
HIS2004,동아시아사개론Ⅰ
HIS2005,서양사개론Ⅰ
HIS2006,역사학입문
HIS3007,중국중세사
HIS3012,근대일본의형성
HIS3018,아시아지역사특강1
HIS3023,르네상스와종교개혁사
HIS3028,서양현대사
HIS3029,20세기세계사
HIS3039,한국사학사
HIS3042,한국정치사
HIS3053,한국여성사
HIS3056,중국사상사
HIS3060,동아시아의국제질서
HIS3070,문화유산현장실습1
HIS4005,한국사강독1
HIS4012,서양사특강1
HIS4017,서양사명저해제1
HISG105,한국제도사연습
HISQ981,역사교과교육론
HISQ982,역사교과논리및논술
PHI2002,동양철학개론
PHI2003,서양철학사
PHI2005,논리학개론
PHI2006,형이상학
PHI3003,서양근대철학사
PHI3010,영국경험론
PHI3014,미학개론
PHI3023,분석철학
PHI3033,"선진,한철학사"
PHI3035,"송,명,청철학사"
PHI3037,도가철학
PHI4010,실용논리
PHI4011,그리스철학특강
PHI4025,철학과문학
PHI4036,동양철학의원리
PHIQ981,철학교과논리및논술
MAT1050,미적분학실습I
MAT2010,집합론
MAT2210,고등미적분학I
MAT2410,응용수학I
MAT2510,푸리에해석및응용
MAT3110,이산수학
MAT3430,응용통계학및실습
MAT3450,계산수학및실습
MAT4110,추상대수학I
MAT4210,복소수함수론I
MAT4310,미분기하학
MAT4330,위상수학개론II
MATG210,실해석학I
MATQ981,수학교과교육론
PHY1101,일반물리실험I
PHY2001,역학I
PHY2005,수리물리학I
PHY2101,실험물리학I
PHY3001,양자물리학I
PHY3003,열역학
PHY3101,실험물리학III
PHY3501,물리캡스톤디자인I
PHY4001,고체물리학I
PHY4003,현대광학I
PHY4005,기초입자이론I
PHY4016,디스플레이물리
PHY4202,물리학특강
PHYG001,고전물리I
ECO3001,산업경제학
ECO3021,경제성장론
ECO4006,정보경제학
ECO4009,파생상품시장
ECO4010,국제금융시장
ECO4019,경제학특강2
ECO4021,경제학특강4
ECO4032,금융시장계량분석(캡스톤디자인)
EUR2201,기초독어
EUR2206,독문법1
EUR3205,중급독어회화
EUR3216,독어학의신세계
EUR3225,독일단편소설
EUR3234,독일문학과성담론
EUR3235,독일문학과연극
EUR3245,독일문화사
EUR4207,시사독일어
BIO1105,일반생물학실험I
BIO2121,현대생물학실험I
BIO2131,생화학I
BIO2141,세포학
BIO2311,생명유기화학
BIO2350,숙주미생물상호작용
BIO2601,유전자클로닝개론
BIO3123,현대생물학실험III
BIO3212,생명공학개론
BIO3311,발생학
BIO3712,미생물생리학
BIO4252,암생물학
BIO4321,인체생리학
BIO4521,식물발달생물학
MGT3005,관리회계(중국어강의)
MGT4101,경영전략시뮬레이션
MGT4103,조직구조와전략
MGT4204,시뮬레이션
MGT4221,경영과정보기술
MGT4222,모바일통신경영
MGT4243,경영품질의이해
MGT4247,공급체인관리와e-business
MGT4303,파생상품론
MGT4308,벤처캐피탈과투자분석(캡스톤디자인)
MGT4310,가치평가이론과실무
MGT4403,고급회계
MGT4505,브랜드전략론
MGT4513,마케팅최신주제및사례연구
MGT4515,빅데이터마케팅(캡스톤디자인)
MGT4604,국제경영전략
KOR3005,국어의미론
KOR3006,국어방언론
KOR3010,중세국어강독
KOR3201,한문I
KOR3203,구술문학론
KOR3209,문학주제학
KOR3307,고전소설론
KOR3312,전통연희론
KOR3401,현대시텍스트읽기I
KOR3413,영상문학론
KOR4400,현대문학연습
KOR4500,국어와생활
KORQ981,국어교과교육론
CHM1051,일반화학실험I
CHM2101,분석화학
CHM2151,분석화학실험
CHM2202,물리화학II
CHM2231,물리화학특론
CHM2251,물리화학실험I
CHM2301,유기화학I
CHM2303,유기화학III
CHM2331,유기화학특론I
CHM2352,유기화학실험II
CHM2401,무기화학I
CHM2501,고분자화학
CHM2602,생화학II
CHM2651,생화학실험
CHM4051,연구프로젝트I
CHM4055,첨단화학캡스톤디자인
CHMG101,고급분석화학
CHMG301,고급유기화학I
CHMG401,고급무기화학
EDUF982,외국어교과논리및논술
EDUF983,외국어교과교재연구및지도법
EDUS981,과학교과교육론
EEE2012,전자공학세미나II
EEE2051,기초전자공학실험
EEE2101,전자장론I
EEE2103,고급공학수학I
EEE2112,회로이론
EEE2135,디지털회로설계
EEE3121,물리전자공학II
EEE3131,전자회로I
EEE3141,자동제어개론
EEE3148,통신공학개론
EEE3154,랜덤프로세스
EEE3181,전자회로실험
EEE4147,반도체공학II
EEE4160,컴퓨터통신
EEE4162,반도체집적회로해석및설계
EEE4165,디지털영상처리개론
EEE4167,마이크로프로세서개론
EEE4171,데이터통신시스템
EEE4173,초고주파공학
EEE4175,디지털신호처리개론
EEE4183,마이크로프로세서응용실험
EEEG273,나노반도체소자공정실무와특허사례(캡스톤디자인)
POL3081,남북한관계의이해
POL3098,의회정치론
POL3100,정치사상의이해
POL3108,근대정치사상
POL3112,문화와정치
POL3130,국제정치론
POL3132,동북아정치질서
POL3141,현대국제기구의이해
POL3161,비교정치론
POL3162,미국정치의이해
POL3172,동아시아지역협력과갈등
POL3173,동남아정치의이해
POL3182,정치경제론
POL4083,북한정치특강
POL4096,정치와언론
POL4147,국제관계특강
CBE2003,화공생명공학양론
CBE2004,물리화학
CBE2005,응용유기화학
CBE2008,화공생명공학기초실험I
CBE2011,화공수학I
CBE3002,공정열역학
CBE3003,반응공학
CBE3004,화공유체역학
CBE3007,고분자공학
CBE3013,응용분자생물학
CBE3015,화공생명공학요소실험I
CBE4003,이동현상
CBE4004,분리정제공정
CBE4007,공정공학
CBE4008,반도체공정
CBE4013,생물화학공학
CBE4020,에너지공학
CBEG005,화공산업과기술경영-기업가정신
EUR2303,프랑스어문법1
EUR2315,프랑스문화의이해
EUR3321,시청각프랑스어2
EUR3324,프랑스어작문2
EUR3340,프랑스문학강독1
EUR3346,프랑스18세기문학
EUR3349,프랑스극문학
EUR4381,시청각프랑스어4
EUR4383,프랑스어토론
REL2002,세계종교입문
REL3001,힌두교의이해
REL3009,도교의중심사상
REL3013,한국그리스도교의이해
REL3023,신화의이해
REL3036,비교신비주의
RELG005,한국유교사
SOC2002,인류학개론
SOC2003,사회조사방법론
SOC2006,사회학사
SOC3001,문화사회학
SOC3003,사회심리학
SOC3010,사회발전론
SOC3012,성과사회
SOC3030,"지식,문화,권력"
SOC3033,이미지와상상력의사회학
SOC3041,세계사회의형성과발전
SOC3047,한국사회사
SOC3054,정보사회학
